 ,2008 ($B),2009 ($B),2010 ($B),2011 ($B),2012 ($B),2013 ($B),2014 ($B),2015 ($B),Compound Growth Rate 2008-2015
            Pharmaceutical and other medical products 9,305.2,320.9,334.1,353.4,369.5,389.3,428.7,465.9,0.062292281
                Pharmaceutical products,301.4,317.1,330.1,349.2,365,384.7,423.9,461,0.062589163
                Other medical products,3.8,3.8,4,4.2,4.5,4.6,4.8,4.9,0.036986761
            Therapeutic appliances and equipment,52.5,52.7,55.6,58.9,60.8,62.8,64.9,67.5,0.036554323
        Outpatient services,725.6,744.7,767.9,797.9,826.9,837,872.1,930.8,0.036218401
            Physician services 10,383.7,392.8,402.8,418.4,432.3,435.3,452.7,484.5,0.033883756
            Dental services,102,102.1,104.5,106.7,108.4,109.9,112.7,117.8,0.020786733
            Paramedical services,240,249.8,260.6,272.8,286.2,291.8,306.7,328.5,0.045863185
                Home health care,69,73.5,77,80.4,84.7,87.6,91.3,97.8,0.051093608
                Medical laboratories,30.9,32.2,32.6,33.9,33.9,33.6,33.9,35.2,0.018787141
                Other professional medical services 11,140.1,144,151,158.5,167.6,170.5,181.6,195.5,0.048751659
        Hospital and nursing home services,830.8,882.6,922.8,966.8,1008.9,1033.9,1080.7,1138.2,0.046000104
            Hospitals 12,690.1,736.6,770.5,808.3,847.3,870.5,912.8,963.7,0.048862473
            Nursing homes,140.8,146.1,152.3,158.5,161.6,163.4,167.9,174.4,0.031045164
    Transportation,1009.7,867,942.1,1052,1105.7,1136.2,1168,1116.2,0.014428356
        Motor vehicles,284.8,265.3,286.5,303.8,333.7,352,377.3,397.8,0.048895237
            New motor vehicles,185.2,165.6,182.3,207.9,237,250,266.1,277.3,0.059361357
            Net purchases of used motor vehicles,99.6,99.7,104.2,96,96.8,102,111.2,120.5,0.027586155
        Motor vehicle operation,639.9,522.4,574.7,662.8,681.7,689.4,690.9,615.6,-0.005515379
            Motor vehicle parts and accessories,54.8,51.8,55.5,59.6,62,64.1,65.4,67,0.029130872
"            Motor vehicle fuels, lubricants, and fluids",358.3,260.2,307.3,380.4,390.5,385.6,371.2,283,-0.033141758
            Motor vehicle maintenance and repair,158.9,149.2,152.4,161.7,165.2,169.3,176.7,181.3,0.019018308
            Other motor vehicle services,67.8,61.2,59.6,61.1,64,70.4,77.6,84.3,0.031606293
        Public transportation,85,79.3,81,85.3,90.3,94.8,99.8,102.9,0.027676997
            Ground transportation 13,34.8,34.5,35.6,38.2,40.3,42.7,44.3,45.1,0.037732285
            Air transportation,47.4,42.2,42.7,44.3,46.9,48.8,52.1,54.2,0.019335801
            Water transportation,2.8,2.5,2.7,2.9,3.1,3.3,3.4,3.6,0.036554323
    Communication,230.7,230.6,239.6,253.7,264.6,270.9,288.2,296.9,0.036696901
        Telephone and facsimile equipment,13.4,12.7,12.7,13.7,14.5,15.4,16.6,18.3,0.045526836
        Postal and delivery services,12.9,12,11.7,10.8,10.3,10.3,10.6,10.6,-0.027663489
            First-class postal service by U.S. Postal Service (USPS),10.7,10,9.8,8.7,8.1,8,8.2,8.1,-0.038988137
            Other delivery services (by non-USPS facilities),2.2,2,2,2.1,2.2,2.3,2.4,2.5,0.018429679
        Telecommunication services,154,149.6,152.1,157.1,158,156.6,163.3,164.5,0.009467099
        Internet access,50.4,56.3,63,72.2,81.8,88.6,97.6,103.5,0.108266636
    Recreation,899.6,861.8,888.3,922.8,968.2,1003,1041.8,1087,0.027401071
"        Video and audio equipment, computers, and related services",272.7,264.8,276.4,283.1,295.7,302.4,309.2,306.7,0.016927064
            Video and audio equipment,106.7,99.5,99.5,101.7,102.7,103.4,105.1,107.7,0.001333521
            Information processing equipment,83.4,81.2,90.3,91.9,98.6,101.7,104.6,109.2,0.039255591
            Services related to video and audio goods and computers,82.6,84.1,86.6,89.4,94.4,97.3,99.5,89.8,0.012010886
        Sports and recreational goods and related services,192,172.6,174.2,181.5,192.5,203.1,211.4,223.1,0.021678017
            Sports and recreational vehicles,47.1,37,35.6,37,40.3,44.3,47.1,51.7,0.013401112
            Other sporting and recreational goods,140,131.4,134.2,139.9,147.5,154,159.2,166.1,0.024721722
            Maintenance and repair of recreational vehicles and sports equipment,4.9,4.2,4.4,4.5,4.7,4.8,5,5.3,0.011273301
"        Membership clubs, sports centers, parks, theaters, and museums",140.5,137.9,141.8,148.4,154.9,160.6,168.6,182.3,0.037907429
            Membership clubs and participant sports centers,41.2,39.1,39.5,40.6,42.4,44.1,45.5,47.8,0.021453659
"            Amusements parks, campgrounds, and related recreational services",38.3,37.2,38.8,41.3,44.6,47.1,50,54.9,0.052783529
            Admissions to specified spectator amusements,54.7,55.5,57.3,60.1,61.5,62.5,65.8,72.3,0.040656213
                Motion picture theaters,11,11.5,11.8,11.5,12.4,12.8,13,14,0.035052057
"                Live entertainment, excluding sports",24.3,25.2,26.3,28.3,28.5,28,30,33.4,0.046488146
                Spectator sports,19.4,18.8,19.2,20.4,20.6,21.7,22.9,25,0.036893232
            Museums and libraries,6.2,6.1,6.1,6.4,6.4,7,7.2,7.3,0.023606475
"        Magazines, newspapers, books, and stationery",85.5,84.6,89.9,95.2,100.1,104,110.6,119.7,0.049241437
        Gambling,110.2,105,105.6,109.9,114.3,118,120.6,127,0.020476859
"        Pets, pet products, and related services",73.1,73.3,75.9,79.6,84.1,88.1,93.2,99,0.044279689
        Photographic goods and services,16.5,15.3,15.4,15.8,16.6,16.7,17.6,18.2,0.014107327
        Package tours 14,9.2,8.3,9.1,9.4,9.9,10.1,10.6,11.1,0.027183132
    Education,218.4,229.1,244.9,256.3,262.5,269.2,278.6,288.3,0.04046489
        Educational books,9.5,9.2,9.4,9.4,9.4,9.5,9.9,10.6,0.015774873
        Higher education,136.9,146.7,158.3,165.8,170.5,175,179.2,183.8,0.042983498
"        Nursery, elementary, and secondary schools",34.1,34.8,35.3,36.9,37.7,38.9,40.9,42.2,0.030914342
        Commercial and vocational schools 15,37.9,38.4,42,44.1,44.9,45.8,48.6,51.8,0.045645239
    Food services and accommodations,612.5,600.3,617.7,649.5,685.1,710.8,753.7,808.8,0.040513847
        Food services,523.7,517.9,532.2,558.7,587.3,608.1,642.5,690.4,0.040268525
            Purchased meals and beverages 16,508.7,502.3,516.9,541.9,570.2,590.7,624.6,671.6,0.040484379
            Food furnished to employees (including military),15,15.6,15.3,16.8,17.1,17.4,17.9,18.8,0.032784028
        Accommodations 17,88.8,82.4,85.5,90.8,97.8,102.7,111.2,118.4,0.041953627
    Financial services and insurance,771.5,719,763.2,795.8,789.3,830.7,885.7,921.1,0.025642092
        Financial services,486.6,452.2,473.3,487.5,497.3,528.5,553,578.1,0.024920367
            Financial services furnished without payment,241.2,229.4,248.9,258.2,258.8,279.4,296.1,315,0.038871645
"            Financial service charges, fees, and commissions",245.4,222.9,224.4,229.3,238.5,249.1,256.9,263.1,0.009998895
        Insurance,284.9,266.7,290,308.3,292.1,302.2,332.7,343,0.026867773
            Life insurance 18,87.5,80,87.6,93.2,84.6,84.9,88.1,86.4,-0.00180567
            Net household insurance 19,8.1,7.3,7.6,8.4,8.6,9.3,11,12,0.057755215
            Net health insurance,127.4,119.4,135.8,146.7,139.1,146.9,169.6,178.7,0.049526936
                Medical care and hospitalization 20,102.2,97.5,116.8,126.2,118.2,124.4,145.5,153.3,0.059634023
                Income loss 21,2.7,2.7,2.6,2.7,2.8,2.9,2.9,3.1,0.0199318
                Workers' compensation 22,22.4,19.2,16.4,17.8,18.1,19.6,21.1,22.3,-0.000638979
            Net motor vehicle and other transportation insurance 23,62,60,58.9,60,59.8,61.1,64,65.8,0.008534132
    Other goods and services,673,672.7,700.6,733.1,754.9,774.3,801.7,834.3,0.031168403
        Personal care 24,199.7,194.9,204.4,215.6,224.9,233.9,247.1,257,0.036694329
        Personal items 25,89.3,83.6,87.8,98.3,103.3,108.2,109.7,112.3,0.033280725
        Social services and religious activities 26,130.1,133.2,138.9,143.2,147.2,152.9,161.5,171,0.039823984
        Professional and other services,167.5,161.5,163.3,167.8,170.5,173.1,178.8,186,0.015078743
            Legal services,92.4,90.1,91.4,94.6,95.8,95.5,98.1,102.2,0.014504861
            Accounting and other business services 27,30.6,27.4,27,27.5,28.1,29.5,31.6,33.4,0.012586536
            Labor organization dues,12.5,12.5,12.3,12.3,12.4,12.5,12.8,13,0.005618685
            Professional association dues,7.4,7.6,7.9,8.2,8.7,8.9,9.1,9.2,0.031592118
            Funeral and burial services,24.5,23.9,24.6,25.2,25.6,26.6,27.2,28.1,0.019778257
        Tobacco,86.4,99.5,106.3,108.3,108.9,106.2,104.6,107.9,0.032254571
    Net foreign travel and expenditures abroad by U.S. residents,-18.1,-17,-27.3,-33.7,-31.8,-48.8,-52,-56.9,0.177773981
        Foreign travel by U.S. residents,113,98.8,107.1,112.8,125.7,125.7,136.2,145.6,0.036874355
        Less: Expenditures in the United States by nonresidents,136.5,122.3,139.8,153.6,164.1,180.1,194,207.3,0.061509309
        Net expenditures abroad by U.S. residents,5.3,6.5,5.3,7.1,6.6,5.6,5.7,4.8,-0.01405612
Final consumption expenditures of nonprofit institutions serving households (NPISHs) 28,282.1,276,275.4,275,292.9,304.9,313.6,327.9,0.021725064
    Gross output of nonprofit institutions 29,1040.9,1072.6,1105.9,1139.6,1193,1229.7,1277.1,1335.7,0.0362664
    Less: Receipts from sales of goods and services by nonprofit institutions 30,758.8,796.5,830.5,864.6,900.1,924.8,963.5,1007.8,0.041373972
